File Name,Collection_Type,Speaker_Code,Speaker_Role,Age,Utterance,%gra,Determiner/Numbers,Classifier,Classifier type,Over use of Ge...,age_years,age_available,identified_noun,conventional_classifier,conventional_classifier_zh,classifier_type,overuse_of_ge,rationale
Mandarin/Xinjiang/ENNI/201204/ykd206.xml,Chinese,CHI,Target_Child,2191.5,然后 那个 那 个 另 一 个 大象 想 拿 飞机,conj det cl adv num cl n v v n,一,个,General,True,6.0,True,大象,tou,头,General,True,Elephants conventionally take the specific classifier '头' (tou) rather than '个'.
Mandarin/Xinjiang/ENNI/201209/syx108.xml,Chinese,CHI,Target_Child,1643.625,他们 两 个 大象 这 个 跑,pro:per num cl n det cl v,这,个,General,False,4.5,True,OMITTED,N/A,N/A,General,False,"The demonstrative 这 个 is used without an explicit noun, so the referent is omitted."
Mandarin/Zhou2/72/fa06.xml,Chinese,CHI,Target_Child,2191.5,没 那 个 颜色 我 就 用 这 个,adv det cl n pro:per adv prep det cl,那,个,General,True,6.0,True,颜色,zhong,种,General,True,颜色通常用特定量词“种”(一种颜色)，此处用“个”属于泛化。
Mandarin/Zhou2/72/fb16.xml,Chinese,CHI,Target_Child,2191.5,这 是 四 只 皮皮鼠 在 爸爸 妈妈 的 床 上 玩 得 很 高兴,pro:dem v:cop num cl n prep n:relat n:relat poss n post v stative adv adj,四,只,Specific,False,6.0,True,皮皮鼠,zhi,只,Specific,False,Small animals like 鼠 typically take the specific classifier ‘只’ (zhi).
Mandarin/Zhou2/72/ma05.xml,Chinese,CHI,Target_Child,2191.5,看 这 个,v det cl,这,个,General,False,6.0,True,OMITTED,N/A,N/A,General,False,"The demonstrative-classifier phrase lacks an explicit noun, so the referent is omitted."
Mandarin/Zhou3/001005.xml,Chinese,MOT,Mother,1461.0,这 个 叫 仙人球,det cl v n,这,个,General,False,4.0,True,OMITTED,N/A,N/A,General,False,"Demonstrative with classifier precedes the verb '叫', so the referent noun is implicit and not stated."
Mandarin/Zhou3/010912.xml,Chinese,FAT,Father,651.1875,你 刚才 拿 了 几 只 笔 啊,pro:per adv v asp num cl n sfp,几,只,Specific,False,1.8,True,笔,zhi,支,Specific,False,The noun '笔' conventionally takes the specific classifier '支' (zhi) rather than '只'.
Mandarin/ZhouAssessment/4-4.5/FJ4045tangchenyouke.xml,Chinese,CHI,Child,,这 这 个 就是 洗澡,det cl co:int v,这,个,General,False,,False,OMITTED,N/A,N/A,General,False,This is a demonstrative-copula construction with no explicit referent noun.
Mandarin/ZhouNarratives/Caterpillar/6/6ym14.xml,Chinese,CHI,Target_Child,2191.5,一 天 晚上 一 天 晚上 蝴蝶 妈妈 产 在 树叶 上 产 产 下 了 一 颗 卵,num cl n n n:relat prep n post v v:dirc asp num cl n,一,天,Specific,False,6.0,True,晚上,ge,个,Specific,False,“晚上”通常用量词“个”，如“一个晚上”.
Mandarin/ZhouNarratives/Robber/3/3ym5.xml,Chinese,CHI,Target_Child,1461.0,十 一 个 十 二 个 十 三 个 十 四 个 十 五 个 十 六 个 十 七 个 十 八 个 十 九 个 二 十 个,num num cl num num cl num num cl num num cl num num cl num num cl num num cl num num cl num num cl num num cl,二,个,General,False,4.0,True,OMITTED,N/A,N/A,General,False,The utterance lists numbers with classifiers but no noun is stated after the target '个'.
