File Name,Collection_Type,Speaker_Code,Speaker_Role,Age,Utterance,%gra,Determiner/Numbers,Classifier,utterance_id,utterance_order,classifier_token_order,transcript_id,determiner_type,specific_semantic_class,Classifier type,Over use of Ge...,age_years,age_available,identified_noun,conventional_classifier,conventional_classifier_zh,classifier_type,overuse_of_ge,flag_for_review,flag_reason,rationale
Mandarin/TCCM/wu/020200.xml,Chinese,CHI,Target_Child,791.375,我 要 这 个,pro:per v det cl,这,个,5168291,853,4,16789,demonstrative,general,General,False,2.2,True,OMITTED,N/A,N/A,General,False,False,,The noun is omitted; '个' is used as a general classifier in a demonstrative pronoun.
Mandarin/Tong/030208.xml,Chinese,SIS,Sister,1164.625,我 告诉 那 个 阿姨,pro:per v det cl n:relat,那,个,5246232,1522,4,16848,demonstrative,general,General,False,3.2,True,阿姨,ge,个,General,False,False,,"阿姨 is a person, standard classifier is 个."
Mandarin/Xinjiang/ENNI/201204/xhd403.xml,Chinese,CHI,Target_Child,2191.5,马 拿 这 个 东西 摔 倒 水 里,n prep det cl n v v n post,这,个,5251602,4,4,17771,demonstrative,general,General,False,6.0,True,东西,ge,个,General,False,False,,The noun '东西' conventionally takes the classifier '个'.
Mandarin/Xinjiang/ENNI/201209/jgd207.xml,Chinese,CHI,Target_Child,2922.0,嗯 那 个 小 大象 在 玩 皮球,det cl adj n adv v n,那,个,5256390,4,3,17903,demonstrative,general,General,True,8.0,True,大象,tou,头,General,True,False,,"The noun '大象' conventionally takes specific classifiers like '头' (tou) or '只' (zhi), not '个'."
Mandarin/Zhou1/cs20g.xml,Chinese,MOT,Mother,608.75,这 只 不 是 蛮 好吗,det cl adv v:cop adv co:int,这,只,5454842,70,2,18968,demonstrative,animacy,Specific,False,1.7,True,OMITTED,N/A,N/A,Specific,False,False,,Demonstrative-copula construction with no explicit referent noun; classifier modifies implicit referent.
Mandarin/Zhou2/36/ma02.xml,Chinese,CHI,Target_Child,1095.75,这 个 颜色,det cl n,这,个,5277994,91,2,18435,demonstrative,general,General,True,3.0,True,颜色,zhong,种,General,True,True,colloquial_tolerance,"Colors conventionally take the specific classifier 'zhong' (种), but 个 is often used colloquially."
Mandarin/Zhou2/48/ma01.xml,Chinese,CHI,Target_Child,1461.0,这 个,det cl,这,个,5294512,325,2,18479,demonstrative,general,General,False,4.0,True,OMITTED,N/A,N/A,General,False,False,,"Demonstrative phrase with no explicit noun, so noun omitted."
Mandarin/Zhou3/001005.xml,Chinese,MOT,Mother,1461.0,上面 用 另外 一 种 颜色 涂 的,post prep pro:dem num cl n v cleft,一,种,5338407,190,5,18598,numeral,type_kind,Specific,False,4.0,True,颜色,zhong,种,Specific,False,False,,The noun '颜色' correctly takes the specific classifier '种' for kinds.
Mandarin/ZhouAssessment/3.5-4/XIAN3540yuanmiaoyu.xml,Chinese,CHI,Child,,这 个 吗,det cl sfp,这,个,5057411,59,2,16550,demonstrative,general,General,False,,False,OMITTED,N/A,N/A,General,False,False,,No explicit noun; classifier used with demonstrative and no noun spoken.
Mandarin/ZhouNarratives/Caterpillar/6/6yf15.xml,Chinese,CHI,Target_Child,2191.5,后来 它 长大 了 变成 了 一 只 美丽的 蝴蝶,adv pro:per v asp v asp num cl adj n,一,只,5428984,67,8,18804,numeral,animacy,Specific,False,6.0,True,蝴蝶,zhi,只,Specific,False,False,,Butterfly conventionally takes the specific classifier 'zhi' (只).
