File Name,Collection_Type,Speaker_Code,Speaker_Role,Age,Utterance,%gra,Determiner/Numbers,Determiner_POS,Classifier
Mandarin/TCCM/wang/030200.xml,Chinese,MOT,Mother,1156.625,唉唷 对 了,co v asp,唉唷,co,对
Mandarin/Zhou1/cs20e.xml,Chinese,MOT,Mother,608.75,放 在 哪 个 盒子 里 的,v prep pro:wh cl n post poss,哪,pro:wh,个
Mandarin/LiReading/6/r6yml19.xml,Chinese,MOT,Mother,2221.9375,可 他 说 的 不 对,adv pro:per v cleft adv adj,不,adv,对
Mandarin/Zhou3/000610.xml,Chinese,CHI,Target_Child,1339.25,就 只 有 妈妈 一 个 人 了,adv adv v n:relat num cl n asp,就,adv,只
Mandarin/Xinjiang/ENNI/201204/sdfydb07.xml,Chinese,CHI,Target_Child,2191.5,我 拿 下 水 里 去 了,pro:per v v:dirc n post v:dirc asp,拿,v,下
Mandarin/ZhouAssessment/5-5.5/FJ5055kangxinyue.xml,Chinese,TEA,Teacher,,没关系 这 是 你 的 家 你 来 定,adj pro:dem v:cop pro:per poss n pro:per v:dirc v,的,poss,家
Mandarin/LiReading/4/r4yml4.xml,Chinese,CHI,Target_Child,1521.875,这 明明 有 个 垃圾,pro:dem adv v cl n,有,v,个
Mandarin/LiReading/4/r4ymi14.xml,Chinese,MOT,Mother,1430.5625,用 爪子 把 沙发 给 抓 破 了,prep n prep n v v adj asp,爪子,n,把
Mandarin/Xinjiang/ENNI/201306/syx105-w.xml,Chinese,CHI,Target_Child,1917.5625,贴 到 他 的 那 个 腿 他 的 那 个 腿 上,v v:resc pro:per cleft det cl n post,那,,个
Mandarin/LiReading/5/r5yfi10.xml,Chinese,MOT,Mother,1826.25,让 他 给 他 一 个 家,v pro:per v pro:per num cl n,个,cl,家
Mandarin/Zhou2/66/ma02.xml,Chinese,MOT,Mother,2008.875,那 你 就 把 它 腿 下 下来,conj pro:per adv prep pro:per n v:dirc v:dirc,腿,n,下
Mandarin/Zhou2/48/fa09.xml,Chinese,MOT,Mother,1461.0,你好 天 上 的 星星,co n post poss n:prop,你好,co,天
Mandarin/LiReading/5/r5yfi6.xml,Chinese,MOT,Mother,1734.9375,你 看 虫子 把 果实 吃 了,pro:per v n prep n v asp,虫子,n,把
Mandarin/ChangPN/grade4/234.xml,Chinese,CHI,Target_Child,3713.375,然后 又 打 一 次,conj adv v adv adj,一,adv,次
